日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-12,28.44,35.69,2.35,3.90,-0.84,58.70
2025-12-15,15.28,19.15,1.26,-1.73,-0.57,53.43
2025-12-16,13.92,17.44,1.15,0.38,-0.31,54.38
2025-12-17,13.32,16.62,1.10,0.75,-0.03,56.29
2025-12-18,13.71,17.02,1.13,-2.18,-0.03,49.74
2025-12-19,11.08,13.81,0.92,1.12,0.08,52.73
2025-12-22,10.47,13.19,0.87,1.06,0.28,55.45
2025-12-23,10.67,13.41,0.88,-0.41,0.38,54.15
2025-12-24,10.97,13.83,0.91,1.05,0.56,56.94
2025-12-25,9.40,11.92,0.78,0.50,0.75,58.25
2025-12-26,13.88,17.84,1.15,1.34,1.03,61.67
